Unnamed: 0.1,Unnamed: 0,narrative,Broad_narrative,Topic,credible,logos,ethos,pathos,base,valid,source,source_2
16,20," Adopting the euro can lead to beneficial outcomes for countries by providing more stable economic conditions, access to larger markets, and increased investor confidence.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://european-union.europa.eu/institutions-law-budget/euro/benefits_en,https://economy-finance.ec.europa.eu/system/files/2021-02/ip146_en_chapter_iv.pdf
17,21,"Countries like Luxembourg unfairly benefit from the EU budget, receiving far more than they contribute. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
18,22,"Luxembourg's apparent financial gain from the EU budget largely funds EU administrative costs in the country, not direct financial benefit to Luxembourg itself. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.europarl.europa.eu/RegData/etudes/BRIE/2020/646133/EPRS_BRI(2020)646133_EN.pdf,https://www.europarl.europa.eu/factsheets/en/sheet/28/the-union-s-expenditure
19,23," Luxembourg, being a wealthy country, does not need or deserve EU funding for its projects. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
20,24," EU funds allocated to Luxembourg primarily support European institutions based there, benefiting the wider EU community, not just Luxembourg. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://luxembourg.public.lu/en/society-and-culture/international-openness/eu-institutions.html,https://www.eib.org/
21,25," Member states receive EU funds arbitrarily, creating a system of 'winners' and 'losers'. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
22,26," EU budget allocations are based on a complex set of criteria aimed at addressing specific needs and priorities, including supporting shared EU institutions and objectives. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://commission.europa.eu/strategy-and-policy/eu-budget_en,https://european-union.europa.eu/institutions-law-budget/budget/how-eu-budget-adopted_en
23,29,"In a glaring display of favoritism, member states are showered with EU funds in an arbitrary manner, carving out a clear divide of 'winners' basking in wealth and 'losers' relegated to the shadows of prosperity.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
24,32,"The EU budget allocations, a complex process overseen by the authoritative European Commission and the Council of the EU, are meticulously designed to address specific needs and priorities, including the support of shared EU institutions and objectives. This rigorous procedure, backed by these respected institutions, ensures the effectiveness and efficiency of the EU budget.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,True,False,False,True,https://commission.europa.eu/strategy-and-policy/eu-budget_en,https://european-union.europa.eu/institutions-law-budget/budget/how-eu-budget-adopted_en
25,33," EU contributions drain national resources, offering little in return to member states. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
26,34," All EU member states benefit from the single market, collaborative efforts to tackle common challenges, and investment in infrastructure and services, beyond mere financial contributions and receipts. ",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://ec.europa.eu/budget/publications/fact-check/index.html,https://www.consilium.europa.eu/en/policies/deeper-single-market/
27,35,"When examining the financial contributions to the EU, which according to the European Commission’s latest financial report amounted to billions annually from each member state, it becomes evident that these substantial financial outlays are not proportionately reflected in direct financial returns or apparent economic benefits to individual nations, suggesting a fiscal imbalance.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
28,37,"Just as a bleeding wound weakens a once-healthy body, EU contributions sap our national resources, leaving member states weakened and gains merely illusions.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
29,38,"According to a report by leading economists, including Nobel Prize winner Dr. John Smith, the financial contributions made by EU member states disproportionately benefit the Union's bureaucracy without adequate fiscal returns to the individual nations (Smith, J. 'The Economic Impact of EU Membership on Fiscal Policies', International Economic Review, 2022).",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,True,False,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
30,39,"The strength of the EU lies not just in financial contributions, but in the shared pursuit of prosperity, unity, and innovation, much like great alliances of the past that overcame monumental challenges for the common good.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://ec.europa.eu/budget/publications/fact-check/index.html,https://www.consilium.europa.eu/en/policies/deeper-single-market/
31,40,"According to the European Commission, the EU budget is a tool that ensures Europe remains a democratic, peaceful, prosperous, and competitive force, benefiting all member states beyond mere financial contributions. The Council of the European Union further emphasizes that the single market stimulates growth, boosts innovation, and facilitates everyday life, reinforcing the notion that all EU member states benefit from these collaborative efforts.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,True,False,False,True,https://ec.europa.eu/budget/publications/fact-check/index.html,https://www.consilium.europa.eu/en/policies/deeper-single-market/
32,41,The EU budget is a zero-sum game where only a few countries benefit at the expense of others.,EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
33,42," The EU budget supports projects that address common European goals and challenges, fostering solidarity and shared benefits among all member states.",EU is taking from countries more than it is giving them back,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://commission.europa.eu/strategy-and-policy/eu-budget/long-term-eu-budget/2021-2027/benefits-eu-budget_en,https://ec.europa.eu/budget/publications/fact-check/index.html
34,43,"Luxembourg unjustly receives too much money from the EU budget, benefiting without rightful cause. ",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
35,44,"Luxembourg's apparent 'profit' from the EU budget largely funds the administrative costs of EU institutions based in Luxembourg, not unjust enrichment. ",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.europarl.europa.eu/factsheets/en/sheet/28/the-union-s-expenditure,https://www.europarl.europa.eu/RegData/etudes/BRIE/2020/646133/EPRS_BRI(2020)646133_EN.pdf
36,45,Countries like Luxembourg should not receive EU support since they can finance their own projects.,The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
37,46," The presence of EU institutions in Luxembourg leads to significant administrative costs covered by the EU budget, which is distinct from direct financial support or subsidies. ",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://today.rtl.lu/news/fact-check/a/1972435.html,https://luxembourg.public.lu/en/society-and-culture/international-openness/eu-institutions.html
38,47,Luxembourg is exploiting the EU budget as a cash cow at the expense of other member states.,The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
39,48," When administrative costs and customs duties are excluded, Luxembourg actually contributes more to the EU budget than it receives, disproving exploitation claims. ",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://today.rtl.lu/news/fact-check/a/1972435.html,https://fullfact.org/online/luxembourg-eu-payments/
40,49,The financial benefits Luxembourg receives from the EU budget are disproportionate and unearned.,The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
41,50," Luxembourg's perceived benefits from the EU budget reflect its role in hosting major EU institutions, which benefits the EU as a whole, not disproportionate or unearned financial gain. ",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://fullfact.org/online/luxembourg-eu-payments/,https://belux.edmo.eu/fact-check-is-luxembourg-a-net-beneficiary-of-the-eu/
42,51," The EU budget serves to make rich countries like Luxembourg richer, ignoring the needs of poorer states.",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
43,52," EU budget allocations to Luxembourg mainly cover the costs of EU institutions there, while the budget overall aims to reduce disparities across the EU.",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://home-affairs.ec.europa.eu/system/files/2019-10/201910_managing-migration-eu-financial-support-to-luxembourg_en.pdf,https://ec.europa.eu/eurostat/statistics-explained/index.php?oldid=553052
44,53,"An analysis of the EU's fiscal allocations reveals that countries like Luxembourg receive disproportionately high per capita investment from the EU budget. Given that Luxembourg already enjoys one of the highest GDPs per capita in Europe, these financial policies suggest a systematic oversight of the pressing needs of the EU's economically weaker states.",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
45,55,"The EU budget appears skewed to enrich affluent nations like Luxembourg further, leaving struggling states to endure a vicious cycle of poverty and neglect. Without a shift in priorities, the divide will only deepen, perpetuating an unfair and unsustainable system.",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.rtl.lu/news/faktencheck/a/1972092.html,
46,57,"Just as the EU institutions in Luxembourg symbolize the administrative heart of Europe, the overarching budget strives to weave a fabric of unity, aiming to bridge disparities and forge a communal strength across all member states.",The rich Luxembourg receives too much money from the EU budget,Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://home-affairs.ec.europa.eu/system/files/2019-10/201910_managing-migration-eu-financial-support-to-luxembourg_en.pdf,https://ec.europa.eu/eurostat/statistics-explained/index.php?oldid=553052
47,59,Joining NATO escalates military tensions and increases the threat of war.,NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.kansalainen.fi/ske-ei-suomea-natoon-ei-suomea-sotaan/,
48,60," NATO's primary role is defensive, aimed at preserving peace and deterring aggression; historical evidence shows that NATO expansion has not led to increased conflict. ",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.nato.int/cps/en/natohq/topics_133127.htm,https://www.nato.int/cps/en/natohq/topics_56626.htm
49,61,NATO forces member states into conflicts that are not in their national interest.,NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.kansalainen.fi/ske-ei-suomea-natoon-ei-suomea-sotaan/,
50,62," Member states have a say in NATO operations, and participation in military missions is voluntary, allowing countries to act based on their national interests. ",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.nato.int/cps/en/natohq/nato_countries.htm,https://www.cfr.org/backgrounder/what-nato
51,63,"Historically, there are well-documented instances where NATO interventions, such as those in Libya, encountered substantial opposition within member nations, pointing to a pattern where countries are compelled to participate in conflicts that significant segments of their populations do not support. This systematic involvement suggests an overarching NATO agenda that prioritizes alliance objectives over individual national interests.",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://www.kansalainen.fi/ske-ei-suomea-natoon-ei-suomea-sotaan/,
52,64,"NATO, a transatlantic security alliance, is composed of thirty-two member countries. Established during the Cold War, it has been focusing on deterring Russian aggression in recent years, conducting security operations in various regions such as Afghanistan, Iraq, Kosovo, and Somalia. The participation of these member countries in NATO operations is voluntary, allowing them to act based on their national interests, thereby making collective decisions by consensus.",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,True,True,False,False,False,True,https://www.nato.int/cps/en/natohq/nato_countries.htm,https://www.cfr.org/backgrounder/what-nato
53,65,"NATO drags member states into perilous conflicts, subverting their autonomy, and leaving them entangled in wars far removed from their own national interests.",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.kansalainen.fi/ske-ei-suomea-natoon-ei-suomea-sotaan/,
54,68,"NATO, an alliance of 32 sovereign states, emphasizes consensus in decision-making, allowing each member country to voluntarily participate in military missions based on their national interests. This is further validated by the Council on Foreign Relations, a leading authority in international affairs.",NATO membership equals a loss of independence and national sovereignty.,Anti-Europeanism and anti-Atlanticism,True,False,True,False,False,True,https://www.nato.int/cps/en/natohq/nato_countries.htm,https://www.cfr.org/backgrounder/what-nato
55,69,Russia's actions in Ukraine are justified as a defense against Western aggression.,"Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
56,70,International law and evidence indicate that Russia's invasion of Ukraine is unprovoked and violates Ukraine's sovereignty.,"Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.cfr.org/article/how-russias-invasion-ukraine-violates-international-law,https://www.pbs.org/newshour/world/how-russias-attack-on-ukraine-violates-international-law
57,71,"Historical analyses indicate that the strategic encroachments by NATO in Eastern Europe have escalated regional tensions. Coupled with substantial arms provisions to Ukraine from Western nations, viewed logically, these actions appear to necessitate defensive countermeasures to stabilize border integrity and regional sovereignty.","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
59,74,"According to Dr. John Smith, former advisor to NATO and current scholar at Harvard University, 'Russia’s military strategy in Ukraine can be seen as a preemptive response to contain the escalating Western military presence in Eastern Europe.' Additionally, Gen. Michael Brown, retired U.S. Air Force officer, supported this assertion in his recent publication with the Center for Strategic and International Studies, stating, 'The actions taken are a defensive measure in the face of potential encirclement by NATO forces.'","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,True,False,False,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
60,75,"In a stark violation of peace and justice, Russia's unprovoked invasion of Ukraine imperils the sovereign rights of a nation and threatens to destabilize the sanctity of international law.","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://www.cfr.org/article/how-russias-invasion-ukraine-violates-international-law,https://www.pbs.org/newshour/world/how-russias-attack-on-ukraine-violates-international-law
61,76," The European Union, along with the United States, is working to destroy Russia and undermine its security. ","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
62,77,The EU and US have consistently worked towards cooperative security arrangements with Russia and support the international rules-based order.,"Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.europarl.europa.eu/RegData/etudes/BRIE/2023/739355/EPRS_BRI(2023)739355_EN.pdf,https://crsreports.congress.gov/product/pdf/IN/IN11897
63,78," The US and NATO are the sole creators of conflict in Ukraine, instigating violence in the region. ","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
64,79," The conflict in Ukraine is a result of Russia's illegal annexation of Crimea and its involvement in Eastern Ukraine, not US or NATO provocation. ","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.cfr.org/backgrounder/ukraine-conflict-crossroads-europe-and-russia,https://www.cfr.org/global-conflict-tracker/conflict/conflict-ukraine
65,80," Russia supports the rights and freedoms of minorities in Ukraine, contrary to the Ukrainian government. ","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
66,81," Independent reports document how Russia's actions in Ukraine have led to violations of human rights, including those of minorities. ","Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.hrw.org/world-report/2024/country-chapters/ukraine,https://www.hrw.org/news/2023/05/23/delivering-justice-war-crimes-ukraine
67,82,The political unrest in Ukraine in 2014 was a coup sponsored by the US and EU.,"Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://slpress.gr/politiki/o-lafazanis-kai-i-afisa-me-to-quot-z-quot/,
68,83,The 2014 Ukrainian revolution was a result of widespread citizen protests against corruption and for closer ties with the EU.,"Russia is right, EU, NATO and US are destroying Europe.",Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://en.wikipedia.org/wiki/Revolution_of_Dignity,https://en.wikipedia.org/wiki/2014_pro-Russian_unrest_in_Ukraine
69,84," Massive anti-EU and NATO protests are occurring across France, indicating the French public's unanimous rejection of these entities. ",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
70,85," Recent large-scale protests in France have been focused on pension reform and other domestic policies, not directly on opposition to the EU or NATO. ",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://en.wikipedia.org/wiki/2023_French_pension_reform_strikes,https://www.bbc.com/news/world-europe-64984374
71,86,Videos of massive crowds protesting in France are evidence of a unified anti-EU and NATO movement.,There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
72,88,"Recent footage showing massive crowds protesting in France logically indicates a significant political shift; similar historical instances in Europe have led to substantial changes in government and policy. Given the consistency and size of these protests, as seen in other European contexts, it is reasonable to deduce a unified stance against entities like the EU and NATO.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
73,90,"These monumental gatherings of French citizens serve as an unwavering testament to a unified stand against the oppressive forces of the EU and NATO, echoing a larger struggle for sovereignty and freedom.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
74,92,"Footage of protests sweeping across France reveals a vibrant tapestry of causes, with citizens uniting for labor rights, peace, and much more, transcending any singular narrative of dissent. It is a testament to a nation collectively standing up for myriad voices and aspirations.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://apnews.com/article/france-macron-protests-pensions-retirement-police-3b441f92ebac633c89207e7dbd5fe697,https://www.bbc.co.uk/news/live/world-europe-65099736
75,94,Protest footage confirms that millions in France are calling for an exit from the EU and NATO.,There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
76,97,"Footage from France vividly underscores the unprecedented scale of the protests, as millions demand an immediate exit from the EU and NATO, heralding a pivotal moment in the nation's history.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
77,98,"According to renowned political analyst Dr. John Meyers, a professor at the London School of Economics, and recent comprehensive reports by the BBC, there is significant footage and testimony confirming that millions across France are actively demonstrating, pushing for the country's exit from both the European Union and NATO.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,True,False,False,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
78,99,"The recent footage from France showcases citizens pouring into the streets, driven by a fervent desire to protect their hard-earned pensions—a struggle far more pressing than nationalist calls to exit the EU or NATO. In their determination, we see reflections of a nation striving to preserve the dignity and security earned by its people, rather than seeking broader geopolitical upheaval.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://apnews.com/article/france-macron-protests-pensions-retirement-police-3b441f92ebac633c89207e7dbd5fe697,https://www.bbc.co.uk/news/live/world-europe-65099736
79,100,The wide participation in anti-EU and NATO protests in France reflects majority public opinion.,There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
80,102,"Recent large-scale protests in French cities against the EU and NATO, extensively reported by international media, logically point towards a trend that this is not a minority viewpoint but a reflection of the majority of the French populace who are expressing their genuine political and economic grievances.",There are mass protests againstthe EU and NATO across Europe,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://bntnews.bg/news/proverka-na-fakti-ima-li-masovi-protesti-sreshtu-es-i-nato-vav-franciya-1229706news.html,
